time,weather_code (wmo code),temperature_2m_max (°C),daylight_duration (s),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
5/30/23,3,15.6,73049.27,0,0,23.8
5/31/23,51,15.2,73429.55,0.5,0,30.2
6/1/23,73,9.2,73803.51,3,0.77,28.1
6/2/23,3,11,74170.09,0,0,24.2
6/3/23,55,13.7,74528.17,2.3,0,17.1
6/4/23,3,14.8,74876.48,0,0,19.8
6/5/23,3,15.1,75213.58,0,0,26.1
6/6/23,51,12.1,75537.95,0.5,0,15.1
6/7/23,3,15.9,75848.33,0,0,18.1
6/8/23,61,14.7,76146.31,7.1,0,15.5
6/9/23,3,12.4,76431.3,0,0,14.8
6/10/23,3,20.2,76702.08,0,0,18.8
6/11/23,3,26,76957.34,0,0,25.3
6/12/23,3,25.7,77195.63,0,0,19
6/13/23,3,22.6,77415.55,0,0,18.1
6/14/23,3,24.6,77615.59,0,0,13.3
6/15/23,0,21,77794.23,0,0,12.8
6/16/23,3,18.1,77950.03,0,0,13.7
6/17/23,2,19,78081.6,0,0,11.1
6/18/23,3,24.6,78187.62,0,0,14.1
6/19/23,3,26.9,78267,0,0,12
6/20/23,3,28.1,78318.82,0,0,17.7
6/21/23,51,28.4,78342.42,0.1,0,16.6
6/22/23,61,23.5,78337.47,6.8,0,17.8
6/23/23,61,17.9,78303.88,14.5,0,12.4
6/24/23,55,17.4,78241.89,3.6,0,12.7
6/25/23,51,19.9,78152.01,0.5,0,11.5
6/26/23,3,22.3,78035.04,0,0,12.4
6/27/23,63,20,77891.76,8,0,10.7
6/28/23,51,21.7,77721.81,1,0,7.6
6/29/23,3,24.2,77526.86,0,0,10.2
6/30/23,51,19.5,77308.96,1.7,0,16.4
7/1/23,53,16,77070.16,1.4,0,25.1
7/2/23,51,13.1,76812.4,0.2,0,19.9
7/3/23,55,14.2,76537.62,4.1,0,23.6
7/4/23,61,14.4,76247.58,11.2,0,19.8
7/5/23,63,17.4,75943.94,12.7,0,12.8
7/6/23,51,18.7,75628.23,0.1,0,12.2
7/7/23,51,18.8,75301.81,0.2,0,12
7/8/23,51,18.9,74965.98,0.1,0,16.8
7/9/23,3,21,74621.88,0,0,11.4
7/10/23,2,24.9,74270.5,0,0,13
7/11/23,1,24.5,73912.83,0,0,17.9
7/12/23,2,23.1,73549.66,0,0,15
7/13/23,1,21.9,73181.75,0,0,21.5
7/14/23,51,18.6,72809.78,0.5,0,12.6
7/15/23,3,22.9,72434.34,0,0,14
7/16/23,61,20,72055.98,4.3,0,23.3
7/17/23,51,21.6,71674.63,0.9,0,26
7/18/23,51,20.3,71287.1,0.7,0,16.7
7/19/23,63,17.3,70893.6,12.4,0,17.1
7/20/23,61,17.1,70495,4,0,11.2
7/21/23,51,17.3,70092.09,0.5,0,10.8
7/22/23,61,13.1,69685.61,20.5,0,12.8
7/23/23,61,15.5,69276.21,6.7,0,12.9
7/24/23,51,15,68864.51,1.8,0,13.2
7/25/23,61,15.2,68451.02,2.7,0,10.9
7/26/23,3,17.9,68036.26,0,0,11
7/27/23,51,20.7,67620.64,0.1,0,12.3
7/28/23,51,20,67204.6,0.9,0,12.8
7/29/23,61,19.1,66788.49,6.1,0,21.5
7/30/23,51,20.5,66372.65,0.1,0,14.1
7/31/23,65,19.9,65957.38,15.9,0,13.3
8/1/23,63,18.8,65542.98,16.5,0,21.4
8/2/23,63,17.6,65129.69,14.3,0,26
8/3/23,53,20.2,64717.76,3.2,0,23.2
8/4/23,51,19.6,64307.41,1.2,0,12.9
8/5/23,51,20.9,63898.83,0.4,0,14.8
8/6/23,51,20.7,63491.72,0.2,0,13.4
8/7/23,65,21.7,63082.78,16.2,0,18.4
8/8/23,61,23.8,62671.74,1.4,0,25
8/9/23,51,19,62259.01,0.5,0,18
8/10/23,61,18.9,61844.96,7.3,0,13
8/11/23,53,18,61429.96,3.9,0,19.9
8/12/23,61,19.5,61014.35,2.4,0,18.9
8/13/23,61,18.4,60598.42,8.8,0,11.1
8/14/23,51,21.5,60182.48,1,0,13.6
8/15/23,61,22.4,59766.79,3,0,12
8/16/23,61,20.9,59351.59,9.1,0,16.5
8/17/23,51,20.5,58937.12,0.7,0,16.1
8/18/23,53,18.6,58523.62,2.5,0,9.8
8/19/23,3,21.6,58111.29,0,0,12.4
8/20/23,3,21.7,57700.31,0,0,14.6
8/21/23,51,17.2,57290.9,1.1,0,9.5
8/22/23,55,15.9,56883.23,5.9,0,10.4
8/23/23,61,17.3,56477.45,4.2,0,13.2
8/24/23,51,16.8,56073.74,0.9,0,11.5
8/25/23,53,16.5,55672.25,1,0,11.2
8/26/23,51,17.6,55272.7,0.9,0,12.9
8/27/23,55,17.7,54872.2,1,0,14.9
8/28/23,61,16.4,54470.4,11,0,13.5
8/29/23,61,19.3,54067.55,9,0,13.4
8/30/23,51,18.2,53663.88,0.1,0,11.5
8/31/23,61,15.2,53259.61,6.9,0,17.7
9/1/23,51,17,52854.96,2.2,0,17.2
9/2/23,53,15,52450.14,2.9,0,13.8
9/3/23,51,17.8,52045.33,0.9,0,13.7
9/4/23,61,17.7,51640.72,4,0,24.2
9/5/23,51,15.8,51236.49,0.1,0,21.6
9/6/23,3,16.2,50832.82,0,0,21.9
9/7/23,3,18.4,50429.88,0,0,11.8
9/8/23,61,22.3,50027.82,2,0,12.6
9/9/23,3,23.1,49626.81,0,0,18.1
9/10/23,51,23,49227.01,0.1,0,16.5
9/11/23,3,15.9,48828.56,0,0,17.6
9/12/23,63,19.6,48431.63,6.8,0,18.1
9/13/23,3,15.5,48036.36,0,0,15
9/14/23,3,12.4,47642.91,0,0,14.6
9/15/23,63,12.7,47251.01,14,0,17.7
9/16/23,63,13.8,46857.97,4.9,0,13.3
9/17/23,3,13.8,46463.42,0,0,27.9
9/18/23,3,13.9,46067.55,0,0,17.2
9/19/23,63,14.2,45670.55,13.8,0,17.1
9/20/23,53,12,45272.59,1.4,0,20.2
9/21/23,61,13.6,44873.86,6.2,0,20.8
9/22/23,61,18.6,44474.54,2.1,0,23.2
9/23/23,51,17.3,44074.79,1,0,20.6
9/24/23,3,15,43674.79,0,0,15.5
9/25/23,53,15,43274.71,1.1,0,23.7
9/26/23,2,17.6,42874.71,0,0,14.5
9/27/23,53,15.2,42474.97,1.6,0,19.5
9/28/23,63,14.8,42075.67,3.8,0,16.2
9/29/23,63,15.7,41676.96,7.2,0,15.1
9/30/23,51,14.3,41279.04,0.6,0,17.9
10/1/23,61,12.4,40882.05,3.3,0,17.5
10/2/23,53,8.9,40486.22,1.5,0,13.2
10/3/23,3,12.4,40091.7,0,0,10.5
10/4/23,51,11.8,39698.69,0.4,0,17.5
10/5/23,3,7.7,39306.95,0,0,18.8
10/6/23,75,4.1,38913.57,3.5,5.74,18.7
10/7/23,73,4.9,38518.12,0.9,0.49,22.4
10/8/23,3,6.7,38120.81,0,0,20.2
10/9/23,1,5.3,37721.83,0,0,12.3
10/10/23,51,5.1,37321.38,0.4,0,15.2
10/11/23,63,7.4,36919.67,9.9,0,22.3
10/12/23,73,3.9,36516.89,0.3,1.75,21.4
10/13/23,51,5.4,36113.27,0.2,0,14.9
10/14/23,63,7.7,35709,17.4,0,26.1
10/15/23,71,5.2,35304.32,0.1,0.28,25.6
10/16/23,3,7.1,34899.43,0,0,27.3
10/17/23,2,3.3,34494.59,0,0,12.9
10/18/23,71,1.9,34090.04,0,0.21,19.1
10/19/23,3,0.6,33686.01,0,0,18.8
10/20/23,3,0.5,33282.78,0,0,13.1
10/21/23,2,0.6,32880.62,0,0,11.6
10/22/23,3,0.9,32479.81,0,0,9.4
10/23/23,51,-0.5,32080.66,0.1,0,15.7
10/24/23,3,-1.4,31683.48,0,0,14.4
10/25/23,3,0.4,31288.08,0,0,9.9
10/26/23,3,1.6,30890.99,0,0,15.6
10/27/23,71,-0.1,30491.71,0,0.07,7.8
10/28/23,71,-0.2,30090.48,0,0.49,8.3
10/29/23,73,-2,29687.57,0,1.33,12
10/30/23,3,-3.5,29283.23,0,0,11.4
10/31/23,51,-3.4,28877.75,0.1,0,19.7
11/1/23,73,-0.7,28471.41,0.3,2.73,30.1
11/2/23,71,-2.5,28064.51,0,0.7,24.2
11/3/23,73,0.2,27657.39,0.1,2.73,27.7
11/4/23,75,3,27250.38,8.6,17.71,32.7
11/5/23,71,4.5,26843.85,8.2,0.07,21
11/6/23,51,1.1,26438.17,0.1,0,8.4
11/7/23,71,1.5,26033.77,0,0.07,9.8
11/8/23,73,0.8,25631.06,1.3,2.52,11.2
11/9/23,51,1.5,25230.52,1.6,0,7.4
11/10/23,71,0.7,24832.63,0.1,0.07,18.6
11/11/23,3,-2,24437.94,0,0,20.4
11/12/23,71,-0.7,24047,0.1,1.82,22.7
11/13/23,71,-1.1,23660.4,0,0.21,20.7
11/14/23,3,-6.9,23278.17,0,0,16.9
11/15/23,3,-4.4,22896.37,0,0,14.9
11/16/23,3,-5.2,22514.48,0,0,13.2
11/17/23,3,-8,22132.88,0,0,16.5
11/18/23,0,-6.2,21751.99,0,0,15.3
11/19/23,3,-8.3,21372.22,0,0,13.8
11/20/23,3,-6.3,20994.06,0,0,11.5
11/21/23,3,-7.7,20618.01,0,0,11.2
11/22/23,73,0.4,20244.61,0,3.22,24.6
11/23/23,71,-4.7,19874.43,0,0.63,14.8
11/24/23,73,-4.4,19508.12,0,2.31,24
11/25/23,71,-1.2,19146.34,0,0.63,21.3
11/26/23,73,-1.1,18789.82,0,1.96,23.2
11/27/23,73,-9,18439.34,0,3.64,25.3
11/28/23,75,-2,18095.74,0,10.85,36.6
11/29/23,75,-1.8,17759.92,0,14.42,35
11/30/23,73,-2.8,17432.84,0.2,2.24,17
12/1/23,71,-6.7,17115.51,0,0.28,16.6
12/2/23,71,-7.9,16809.02,0,0.14,16.4
12/3/23,71,-6.6,16514.51,0,1.05,15.1
12/4/23,71,-5.1,16232.65,0,0.63,9.2
12/5/23,71,-6.5,15960.51,0,0.07,10.9
12/6/23,71,-9.3,15697.99,0,0.28,9.9
12/7/23,73,-2,15445.81,0,1.47,18.4
12/8/23,71,-2.8,15204.7,0,0.98,17.3
12/9/23,71,-5,14975.42,0,0.21,13.9
12/10/23,71,-6,14758.75,0,0.56,8
12/11/23,3,-6,14555.48,0,0,11.3
12/12/23,71,-5.6,14366.43,0,0.42,15
12/13/23,3,-9.7,14192.4,0,0,13.4
12/14/23,3,-11,14034.18,0,0,11.9
12/15/23,71,-5.3,13892.58,0,0.28,10.2
12/16/23,73,5.3,13768.33,0.7,0.42,26.8
12/17/23,3,3.3,13662.2,0,0,31
12/18/23,51,3.4,13574.82,0.1,0,27.3
12/19/23,75,2,13506.85,1,3.22,24.1
12/20/23,71,0.6,13458.81,0,0.07,22.4
12/21/23,71,-3.7,13431.21,0,0.21,15.4
12/22/23,73,-2.8,13424.4,0.9,2.17,24
12/23/23,73,-4.3,13438.67,0,3.71,26.4
12/24/23,71,-2.2,13474.27,0,1.26,20.9
12/25/23,3,-5.2,13531.3,0,0,12.9
12/26/23,3,-9.9,13609.28,0,0,12.2
12/27/23,71,-7.1,13707.53,0,0.14,13.4
12/28/23,3,-7.5,13825.28,0,0,11.9
12/29/23,73,-4,13961.77,0.3,3.36,19.5
12/30/23,73,-5.3,14116.12,0,2.03,20.1
12/31/23,71,-8.7,14287.48,0,0.07,13
